buyer_id,name,material_type,min_quantity_kg,max_quantity_kg,quality_required,intended_purpose,max_price_per_kg,city,state,latitude,longitude
BUY-1047,Sunrise Cardboard Packaging #48,Copper,500,5000,High,Direct Reuse,696.54,Kolkata,West Bengal,22.5726,88.3639
BUY-1048,Vanguard Industrial Scrap #49,Aluminum,500,2500,Low,Repurposing,198.36,Hyderabad,Telangana,17.385,78.4867
BUY-1049,GreenPlast Recyclers #50,Steel,50,250,Industrial Grade,Recycling,51.37,Delhi,Delhi,28.7041,77.1025
BUY-1050,Apex Copper Smelting #51,Other,50,500,Low,Upcycling,18.58,Hyderabad,Telangana,17.385,78.4867
BUY-1051,GreenPlast Recyclers #52,Steel,100,1000,Low,Direct Reuse,51.08,Chennai,Tamil Nadu,13.0827,80.2707
BUY-1052,Coimbatore Sustainable Plastics #53,Other,50,100,Industrial Grade,Upcycling,16.78,Surat,Gujarat,21.1702,72.8311
BUY-1053,BioTex Upcyclers #54,Cardboard,100,500,High,Repurposing,16.49,Ahmedabad,Gujarat,23.0225,72.5714
BUY-1054,BioTex Upcyclers #55,Glass,1000,5000,Industrial Grade,Recycling,9.44,Ahmedabad,Gujarat,23.0225,72.5714
BUY-1055,Titanium & Steel Works #56,Copper,200,400,Medium,Repurposing,745.64,Coimbatore,Tamil Nadu,11.0168,76.9558
BUY-1056,ElectroWaste Refiners #57,Textile,1000,10000,Medium,Upcycling,33.43,Ahmedabad,Gujarat,23.0225,72.5714
BUY-1057,Apex Copper Smelting #58,Paper,500,10000,Medium,Repurposing,12.79,Surat,Gujarat,21.1702,72.8311
BUY-1058,BioTex Upcyclers #59,E-waste,200,4000,High,Upcycling,126.72,Pune,Maharashtra,18.5204,73.8567
BUY-1059,Coimbatore Sustainable Plastics #60,Paper,200,400,Medium,Direct Reuse,14.77,Pune,Maharashtra,18.5204,73.8567
